h,s,b
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
148,55,199
148,35,235
148,56,149
148,92,133
148,52,156
148,64,213
148,42,253
148,49,220
148,49,222
148,95,208
148,63,216
148,60,214
148,61,198
148,32,248
148,51,215
148,56,218
148,35,239
148,62,175
148,35,238
148,67,205
148,116,189
148,18,253
148,202,39
148,43,106
148,43,106
148,33,241
148,137,199
148,72,204
148,54,238
148,53,201
148,126,206
148,126,180
148,69,198
148,22,226
148,22,231
148,33,241
148,71,206
148,69,197
148,25,203
148,62,207
148,43,118
149,134,176
149,36,247
149,65,147
149,41,235
149,46,251
149,60,195
149,107,183
149,53,219
149,38,232
149,64,222
149,51,223
149,85,204
149,36,245
149,63,236
149,143,195
149,56,238
149,123,199
149,67,231
149,71,203
149,71,204
149,135,175
149,68,210
149,110,184
149,70,205
149,87,131
149,53,220
149,146,198
149,93,137
149,59,216
149,108,207
149,38,251
150,30,241
150,40,251
150,60,123
150,50,111
150,16,236
150,61,216
150,89,234
150,60,220
150,16,235
150,44,252
150,82,195
150,48,152
150,165,40
150,61,215
150,95,40
150,51,200
150,32,119
150,87,208
150,47,117
150,93,194
150,29,255
150,74,240
150,49,227
150,64,216
150,139,205
150,28,134
150,66,212
150,15,253
150,15,247
150,15,253
150,28,236
150,65,202
150,255,17
150,16,233
150,53,210
150,38,242
150,132,194
150,180,31
150,41,245
150,124,207
150,131,209
150,128,209
150,130,176
150,23,117
150,136,200
151,65,183
151,123,216
151,68,208
151,56,217
151,76,186
151,155,46
151,110,183
151,52,220
151,123,214
151,76,187
151,54,220
151,128,206
151,56,217
151,50,211
151,88,210
151,255,18
151,72,229
151,66,180
151,126,209
151,73,195
151,67,211
151,45,252
151,65,183
151,47,224
151,113,179
151,121,206
151,45,252
151,118,170
151,60,119
151,74,116
151,163,114
151,61,194
151,51,221
151,84,136
151,117,158
151,122,218
151,60,118
151,81,175
151,51,210
151,42,254
151,37,255
151,59,192
151,58,196
151,51,208
151,60,190
151,71,201
151,62,191
152,136,187
152,166,152
152,117,200
152,156,127
152,133,147
152,138,188
152,135,182
152,127,172
152,56,176
152,128,178
152,36,252
152,140,171
152,47,211
152,18,236
152,72,126
152,110,213
152,90,200
152,67,227
152,47,192
152,57,85
152,141,214
152,58,219
152,33,245
152,33,242
152,134,127
152,147,193
152,118,202
152,141,221
152,141,193
152,127,204
152,130,215
152,114,209
152,113,207
152,138,218
152,42,255
152,55,147
152,19,222
152,112,208
152,159,120
152,60,165
152,20,232
152,20,242
152,26,180
152,18,236
152,167,146
152,167,87
152,74,172
152,18,236
152,128,209
152,106,210
152,126,165
152,154,135
152,133,204
152,18,235
152,24,175
152,21,221
152,138,217
152,141,197
152,37,255
153,143,211
153,30,240
153,139,217
153,132,194
153,90,174
153,105,189
153,85,125
153,23,232
153,54,135
153,82,127
153,23,232
153,90,127
153,23,226
153,143,211
153,46,116
153,53,204
153,110,205
153,135,212
153,37,255
153,55,198
153,136,170
153,131,207
153,132,215
153,163,167
153,57,219
153,134,159
153,45,213
153,45,213
153,112,214
153,146,207
153,86,144
153,116,107
153,140,203
153,139,152
153,48,151
153,153,135
153,52,203
153,122,146
153,59,164
153,158,161
153,119,150
153,152,139
153,49,212
153,121,174
153,122,181
153,80,121
153,128,139
153,101,176
153,135,201
153,129,203
153,56,220
153,53,206
153,103,204
153,114,163
153,172,145
153,68,141
153,138,208
153,119,210
153,29,253
153,162,160
153,126,208
153,23,231
153,56,195
154,141,155
154,126,174
154,133,198
154,140,183
154,145,168
154,164,152
154,128,207
154,128,177
154,139,214
154,141,173
154,165,94
154,134,209
154,126,204
154,109,201
154,116,179
154,81,201
154,133,199
154,165,153
154,123,204
154,94,203
154,176,143
154,156,156
154,161,177
154,162,118
154,32,247
154,60,215
154,144,113
154,145,144
154,160,173
154,58,206
154,148,178
154,52,116
154,160,165
154,150,132
154,66,195
154,39,255
154,38,255
154,52,117
154,62,207
154,58,222
155,110,196
155,157,176
155,108,103
155,133,177
155,121,184
155,73,187
155,48,174
155,139,161
155,19,238
155,62,73
155,95,179
155,155,159
155,147,175
155,61,75
155,156,181
155,42,217
155,125,205
155,143,178
155,75,115
155,49,93
155,82,127
155,19,234
155,44,191
155,120,169
155,82,123
155,19,233
155,100,191
155,61,107
155,82,176
155,21,218
155,146,153
155,35,240
156,13,244
156,148,156
156,94,178
156,13,250
156,174,149
156,130,154
156,68,194
156,58,213
156,83,201
156,108,139
156,66,215
156,108,186
156,58,57
156,83,210
156,14,231
156,95,181
156,38,252
156,72,172
156,138,134
156,105,200
156,149,181
156,105,196
156,22,255
156,45,212
156,59,183
156,74,172
156,45,213
156,127,162
157,164,127
157,170,145
157,126,212
157,43,59
157,50,102
157,120,211
157,78,113
157,74,93
157,145,126
157,36,255
157,42,162
158,16,231
158,102,189
158,75,188
158,153,121
158,150,124
158,101,121
158,16,239
158,138,164
158,107,188
158,64,147
158,45,164
158,65,101
158,80,117
158,47,157
158,133,164
158,54,117
158,75,162
158,180,151
158,80,172
158,47,134
158,79,80
158,49,78
158,88,182
158,147,131
158,134,106
158,87,163
159,13,230
159,255,8
159,174,161
159,176,152
159,34,89
159,156,135
159,150,120
159,73,192
159,27,112
159,86,173
159,166,124
159,149,155
159,83,131
160,119,150
160,156,152
160,166,112
160,75,135
160,167,142
161,16,77
161,55,110
161,153,159
161,35,255
161,158,148
161,174,156
161,171,152
161,36,168
161,79,115
161,36,243
162,133,143
162,28,54
162,63,72
163,85,113
163,37,255
163,62,164
164,45,96
164,56,77
164,32,246
164,28,150
164,19,223
165,36,255
165,39,255
166,91,75
166,52,131
167,50,107
167,35,150
168,130,98
168,54,136
170,41,73
170,41,61
170,45,68
170,12,159
170,60,143
170,43,70
170,57,106
170,31,80
170,30,99
172,94,105
172,62,150
174,55,123
175,31,64
175,29,69
176,114,85
176,21,156
176,47,112
176,99,82
177,19,78
177,13,204
177,49,87
177,22,68
178,20,63
179,62,115
179,37,150
180,36,140
181,56,68
182,107,81
183,64,115
187,23,54
187,20,62
188,31,57
188,56,63
188,27,65
189,117,61
191,57,128
192,57,75
192,54,121
195,62,94
195,44,57
196,32,101
204,78,55
204,95,59
204,56,77
204,55,102
206,55,102
212,28,63
219,43,71
221,22,57
221,23,54
221,63,72
224,66,80
225,82,71
226,22,67
230,31,139
231,89,77
231,38,73
231,41,68
233,103,69
233,97,81
235,71,71
236,35,150
237,86,77
238,106,72
240,85,78
240,37,101
240,39,77
240,30,144
240,88,78
240,126,85
240,126,85
241,64,75
243,116,72
244,130,82
244,133,88
244,139,88
244,140,87
245,127,86
245,120,85
246,132,83
247,91,81
247,142,91
247,38,80
247,13,221
248,132,83
248,131,87
248,125,83
248,108,75
248,96,82
249,151,86
249,127,78
250,115,22
250,29,162
250,120,19
250,231,11
250,142,34
250,150,90
250,176,13
251,66,84
251,138,90
252,138,92
252,134,87
252,170,30
252,27,149
252,188,27
253,92,88
253,98,83
254,155,92
254,137,93
